갈리시아어,0,0,0,NNP,*,F,갈리시아어,Compound,*,*,갈리시아+어,갈리시아/NNP/지명/1/1+갈리시아어/Compound/*/0/2+어/NNG/*/1/1
감저보,0,0,0,NNP,*,F,감저보,Compound,*,*,감저+보,감저/NNG/*/1/1+감저보/Compound/*/0/2+보/NNG/*/1/1
감저신보,0,0,0,NNP,*,F,감저신보,Compound,*,*,감저+신보,감저/NNG/*/1/1+감저신보/Compound/*/0/2+신보/NNG/*/1/1
갑을,0,0,0,NNP,*,T,갑을,*,*,*,*,*
갑을경,0,0,0,NNP,*,T,갑을경,Compound,*,*,갑을+경,갑을/NNG/*/1/1+갑을경/Compound/*/0/2+경/NNG/*/1/1
갑을록,0,0,0,NNP,*,T,갑을록,Compound,*,*,갑을+록,갑을/NNG/*/1/1+갑을록/Compound/*/0/2+록/NNG/*/1/1
강계고,0,0,0,NNP,*,F,강계고,Compound,*,*,강계+고,강계/NNG/*/1/1+강계고/Compound/*/0/2+고/NNG/*/1/1
강계지,0,0,0,NNP,*,F,강계지,Compound,*,*,강계+지,강계/NNG/*/1/1+강계지/Compound/*/0/2+지/NNG/*/1/1
강관론,0,0,0,NNP,*,T,강관론,Compound,*,*,강관+론,강관/NNG/*/1/1+강관론/Compound/*/0/2+론/NNG/*/1/1
강도지,0,0,0,NNP,*,F,강도지,Compound,*,*,강도+지,강도/NNG/*/1/1+강도지/Compound/*/0/2+지/NNG/*/1/1
강목,0,0,0,NNP,*,T,강목,*,*,*,*,*
강목집요,0,0,0,NNP,*,F,강목집요,Compound,*,*,강목+집요,강목/NNG/*/1/1+강목집요/Compound/*/0/2+집요/NNG/*/1/1
강병수지,0,0,0,NNP,*,F,강병수지,*,*,*,*,*
강북일기,0,0,0,NNP,*,F,강북일기,Compound,*,*,강북+일기,강북/NNG/*/1/1+강북일기/Compound/*/0/2+일기/NNG/*/1/1
강상문답,0,0,0,NNP,*,T,강상문답,Compound,*,*,강상+문답,강상/NNG/*/1/1+강상문답/Compound/*/0/2+문답/NNG/*/1/1
강연설화,0,0,0,NNP,*,F,강연설화,Compound,*,*,강연+설화,강연/NNG/*/1/1+강연설화/Compound/*/0/2+설화/NNG/*/1/1
강영영지,0,0,0,NNP,*,F,강영영지,Compound,*,*,강영+영지,강영/NNG/*/1/1+강영영지/Compound/*/0/2+영지/NNG/*/1/1
강제문신제명록,0,0,0,NNP,*,T,강제문신제명록,Compound,*,*,강제문신+제명록,강제문신/NNG/*/1/1+강제문신제명록/Compound/*/0/3+제명/NNG/*/1/1+제명록/NNG/*/0/2+록/NNG/*/1/1
강탄절,0,0,0,NNP,*,T,강탄절,Compound,*,*,강탄+절,강탄/NNG/*/1/1+강탄절/Compound/*/0/2+절/NNG/*/1/1
강화부지,0,0,0,NNP,*,F,강화부지,Compound,*,*,강화부+지,강화/NNG/*/1/1+강화부지/Compound/*/0/3+강화부/NNG/*/0/2+부/NNG/*/1/1+지/NNG/*/1/1
강희자전,0,0,0,NNP,*,T,강희자전,Compound,*,*,강희+자전,강희/NNG/*/1/1+강희자전/Compound/*/0/2+자전/NNG/*/1/1
개국원종공신녹권,0,0,0,NNP,*,T,개국원종공신녹권,Compound,*,*,개국원종공신+녹권,개국/NNG/*/1/1+개국원종공신녹권/Compound/*/0/3+개국원종공신/NNG/*/0/2+원종공신/NNG/*/1/1+녹권/NNG/*/1/1
개원석교록,0,0,0,NNP,*,T,개원석교록,Compound,*,*,개원+석교록,개원/NNG/*/1/1+개원석교록/Compound/*/0/2+석교록/NNG/*/1/1
개자원화전,0,0,0,NNP,*,T,개자원화전,Compound,*,*,개자원+화전,개자원/NNG/*/1/1+개자원화전/Compound/*/0/2+화전/NNG/*/1/1
개주학화편,0,0,0,NNP,*,T,개주학화편,Compound,*,*,개주+학화편,개주/NNG/*/1/1+개주학화편/Compound/*/0/2+학화편/NNG/*/1/1
객가,0,0,0,NNP,*,F,객가,*,*,*,*,*
갱장록,0,0,0,NNP,*,T,갱장록,Compound,*,*,갱장+록,갱장/NNG/*/1/1+갱장록/Compound/*/0/2+록/NNG/*/1/1
거라오,0,0,0,NNP,*,F,거라오,*,*,*,*,*
거란국지,0,0,0,NNP,*,F,거란국지,Compound,*,*,거란국+지,거란국/NNG/*/1/1+거란국지/Compound/*/0/2+지/NNG/*/1/1
거북선평면도,0,0,0,NNP,*,F,거북선평면도,Compound,*,*,거북선+평면도,거북/NNG/*/1/1+거북선평면도/Compound/*/0/4+거북선/NNG/*/0/2+선/NNG/*/1/1+평면/NNG/*/1/1+평면도/NNG/*/0/2+도/NNG/*/1/1
건국방략,0,0,0,NNP,*,T,건국방략,Compound,*,*,건국+방략,건국/NNG/*/1/1+건국방략/Compound/*/0/2+방략/NNG/*/1/1
건릉지,0,0,0,NNP,*,F,건릉지,Compound,*,*,건릉+지,건릉/NNG/*/1/1+건릉지/Compound/*/0/2+지/NNG/*/1/1
건설부,0,0,0,NNP,*,F,건설부,Compound,*,*,건설+부,건설/NNG/*/1/1+건설부/Compound/*/0/2+부/NNG/*/1/1
건염이래계년요록,0,0,0,NNP,*,T,건염이래계년요록,Compound,*,*,건염이래계년+요록,건염이래계년/NNG/*/1/1+건염이래계년요록/Compound/*/0/2+요록/NNG/*/1/1
건주견문록,0,0,0,NNP,*,T,건주견문록,Compound,*,*,건주+견문록,건주/NNG/*/1/1+건주견문록/Compound/*/0/3+견문/NNG/*/1/1+견문록/NNG/*/0/2+록/NNG/*/1/1
건축십서,0,0,0,NNP,*,F,건축십서,Compound,*,*,건축+십서,건축/NNG/*/1/1+건축십서/Compound/*/0/2+십서/NNG/*/1/1
검시도,0,0,0,NNP,*,F,검시도,Compound,*,*,검시+도,검시/NNG/*/1/1+검시도/Compound/*/0/2+도/NNG/*/1/1
검안서,0,0,0,NNP,*,F,검안서,Compound,*,*,검안+서,검안/NNG/*/1/1+검안서/Compound/*/0/2+서/NNG/*/1/1
게르만,0,0,0,NNP,*,T,게르만,*,*,*,*,*
격몽요결,0,0,0,NNP,*,T,격몽요결,Compound,*,*,격몽+요결,격몽/NNG/*/1/1+격몽요결/Compound/*/0/2+요결/NNG/*/1/1
견첩록,0,0,0,NNP,*,T,견첩록,Compound,*,*,견첩+록,견첩/NNG/*/1/1+견첩록/Compound/*/0/2+록/NNG/*/1/1
결송유취,0,0,0,NNP,*,F,결송유취,Compound,*,*,결송+유취,결송/NNG/*/1/1+결송유취/Compound/*/0/2+유취/NNG/*/1/1
결송유취보,0,0,0,NNP,*,F,결송유취보,Compound,*,*,결송+유취보,결송/NNG/*/1/1+결송유취보/Compound/*/0/2+유취보/NNG/*/1/1
경교장,0,0,0,NNP,*,T,경교장,Compound,*,*,경교+장,경교/NNG/*/1/1+경교장/Compound/*/0/2+장/NNG/*/1/1
경국대전,0,0,0,NNP,*,T,경국대전,Compound,*,*,경국+대전,경국/NNG/*/1/1+경국대전/Compound/*/0/2+대전/NNG/*/1/1
경국대전속록,0,0,0,NNP,*,T,경국대전속록,Compound,*,*,경국대전+속록,경국/NNG/*/1/1+경국대전속록/Compound/*/0/3+경국대전/NNG/*/0/2+대전/NNG/*/1/1+속록/NNG/*/1/1
경국대전주해,0,0,0,NNP,*,F,경국대전주해,Compound,*,*,경국대전+주해,경국/NNG/*/1/1+경국대전주해/Compound/*/0/3+경국대전/NNG/*/0/2+대전/NNG/*/1/1+주해/NNG/*/1/1
경국육전,0,0,0,NNP,*,T,경국육전,Compound,*,*,경국+육전,경국/NNG/*/1/1+경국육전/Compound/*/0/2+육전/NNG/*/1/1
경국전,0,0,0,NNP,*,T,경국전,Compound,*,*,경국+전,경국/NNG/*/1/1+경국전/Compound/*/0/2+전/NNG/*/1/1
경덕전등록,0,0,0,NNP,*,T,경덕전등록,Compound,*,*,경덕+전등록,경덕/NNG/*/1/1+경덕전등록/Compound/*/0/3+전등/NNG/*/1/1+전등록/NNG/*/0/2+록/NNG/*/1/1
